Timestamp,Output Angle [deg],Motor Angle [deg],Calibrated Motor Angle [deg],Angular Velocity [rad/s],Target Torque [Nm],Current Torque [Nm],Is Holding
1752495149.035339,-40.01166666666666,1324.4769970244909,-240.07,0.0,-0.4730457387399679,-0.42574116486597113,False
1752495149.0467796,180.7344995040818,1324.4769970244909,1084.406997024491,342.3497706930012,-17.12692017539665,-15.45680227434358,False
1752495149.0576622,180.7344995040818,1324.2462806134129,1084.406997024491,0.0,0.0,-1.5456802274343584,True
1752495149.0686226,180.69604676890216,1323.916685740444,1084.176280613413,-0.06180774146920856,0.0,-0.15456802274343584,True
1752495149.0795808,180.64111429007403,1323.5541313801787,1083.8466857404442,-0.08716375759759458,0.0,-0.015456802274343567,True
1752495149.0908098,180.5806885633631,1322.0709544518197,1083.4841313801787,-0.09408550361456813,0.0,-0.0015456802274343567,True
1752495149.101611,180.33349240863663,1318.7090867475397,1082.0009544518198,-0.3952698675308849,0.0,-0.00015456802274343572,True
1752495149.1126196,179.77318112458997,1314.6221103227283,1078.6390867475397,-0.9102001499861876,0.0,-1.5456802274343566e-05,False
1752495149.1236691,179.09201838712139,1310.5680933852138,1074.5521103227284,-1.06426737805184,0.06487250882383873,0.058383712261227426,False
1752495149.134929,178.41634889753564,1306.7447928587776,1070.498093385214,-1.0689861566497378,0.07378279409899778,0.07224288591522074,False
1752495149.1464138,177.7791321431296,1303.8113984893569,1066.6747928587777,-0.9576489324255282,0.07639404733735902,0.07597893119514519,False
1752495149.157563,177.29023308155948,1303.0862897688257,1063.741398489357,-0.7484695739001874,0.0722073296079083,0.07258448976663198,False
1752495149.1684299,177.16938162813764,1304.1739528496223,1063.0162897688258,-0.19520873576521855,0.046094358836643694,0.04874337192964252,False
1752495149.1795764,177.3506588082704,1306.3163195239185,1064.1039528496224,0.2848129516733978,0.01976810929848477,0.022665635561600544,False
1752495149.1904674,177.7077199206531,1309.4804303044175,1066.2463195239186,0.5740676824861145,0.0007245283181757864,0.0029186390425182604,False
1752495149.2013717,178.23507171740292,1313.5674067292287,1069.4104303044176,0.8468866177808255,-0.019684012011653592,-0.017423746906236406,False
1752495149.2128084,178.91623445487144,1318.7090867475397,1073.4974067292287,1.0449312544815017,-0.03833047747955114,-0.03623980442221966,False
1752495149.2239218,179.77318112458997,1323.7518883039597,1078.6390867475397,1.342872296382401,-0.06423098228113783,-0.061431864495246014,False
1752495149.234885,180.61364805065998,1326.9819180590525,1083.6818883039598,1.3263320112629833,-0.07419646406354963,-0.07292000410671927,False
1752495149.2461066,181.15198634317542,1327.608148317693,1086.9119180590526,0.8323035243885727,-0.05640713568199532,-0.05805842252446771,False
1752495149.2572958,181.25635805294883,1326.4545662623027,1087.538148317693,0.16430058099152112,0.0,-0.00580584225244677,True
1752495149.2681627,181.06409437705045,1324.3781185626003,1086.3845662623028,-0.30575577530131515,0.0,-0.0005805842252446765,True
1752495149.2792225,180.7180197604334,1321.9061570153353,1084.3081185626004,-0.5579849289166471,0.0,-5.805842252446761e-05,True
1752495149.2901149,180.30602616922258,1318.8738841840238,1081.8361570153354,-0.651412550502663,0.0,-5.805842252446758e-06,True
1752495149.3012037,179.800647364004,1316.105287251087,1078.803884184024,-0.7871313291678105,0.0,-5.805842252446755e-07,False
1752495149.3121836,179.33921454184784,1314.424353398947,1076.035287251087,-0.7397761686518487,0.04547393818576626,0.040926486308767114,False
1752495149.3235145,179.05905889982452,1313.0730144197755,1074.354353398947,-0.43303694635742923,0.033734173487156904,0.03445340476931792,False
1752495149.3346364,178.83383573662925,1312.6445410849165,1073.0030144197756,-0.35269278932826514,0.03260862403527318,0.032793102108677655,False
1752495149.345803,178.76242351415274,1313.7322041657128,1072.5745410849165,-0.11161215132560257,0.021471413244074537,0.022603582130534847,False
1752495149.3570013,178.94370069428547,1315.1824216067748,1073.6622041657129,0.28373508354318794,-0.0006233085446740502,0.001699380522846839,False
1752495149.3682113,179.18540360112914,1318.379491874571,1075.112421606775,0.3739084087351426,-0.008235328705583236,-0.007241857782740229,False
1752495149.3792357,179.71824864576183,1322.2027924010072,1078.309491874571,0.8397547810678686,-0.03836971124800136,-0.03525692590147525,False
1752495149.3902962,180.35546540016787,1325.630579079881,1082.1327924010072,1.0213272502013766,-0.0556309568424102,-0.0535935537483167,False
1752495149.4010997,180.92676317998018,1327.7399862668804,1085.560579079881,0.905227695894609,-0.057161672787357974,-0.05680486088345385,False
1752495149.4118614,181.27833104448007,1328.333257038224,1087.6699862668804,0.5753061299493016,0.0,-0.005680486088345385,True
1752495149.4231424,181.3772095063707,1327.9377431906616,1088.263257038224,0.15577377326220354,0.0,-0.0005680486088345382,True
1752495149.4344246,181.31129053177696,1326.9489585717556,1087.8677431906617,-0.10029013110222541,0.0,-5.680486088345375e-05,True
1752495149.4453607,181.1464930952926,1325.2021057450218,1086.8789585717557,-0.261712510202433,0.0,-5.680486088345376e-06,True
1752495149.456447,180.85535095750365,1324.0814831769285,1085.1321057450218,-0.4604409300648381,0.0,-5.680486088345371e-07,True
1752495149.4677136,180.66858052948808,1324.2462806134129,1084.0114831769286,-0.2891675447949406,0.0,-5.680486088345365e-08,True
1752495149.4787998,180.69604676890216,1324.4769970244909,1084.176280613413,0.04325280683182841,0.0,-5.680486088345362e-09,True
1752495149.490043,180.7344995040818,1324.444037537194,1084.406997024491,0.060030922132864845,0.0,-5.680486088345357e-10,True
1752495149.50106,180.729006256199,1324.444037537194,1084.374037537194,-0.008736828289430556,0.0,-5.6804860883453594e-11,True
1752495149.511979,180.729006256199,1324.444037537194,1084.374037537194,0.0,0.0,-5.680486088345361e-12,True
1752495149.52296,180.729006256199,1324.444037537194,1084.374037537194,0.0,0.0,-5.680486088345359e-13,True
1752495149.5341287,180.729006256199,1324.444037537194,1084.374037537194,0.0,0.0,-5.680486088345361e-14,True
1752495149.5451272,180.729006256199,1324.444037537194,1084.374037537194,0.0,0.0,-5.680486088345361e-15,True
1752495149.5562887,180.729006256199,1324.444037537194,1084.374037537194,0.0,0.0,-5.680486088345358e-16,True
1752495149.5674293,180.729006256199,1324.444037537194,1084.374037537194,0.0,0.0,-5.680486088345358e-17,True
1752495149.5783684,180.729006256199,1324.444037537194,1084.374037537194,0.0,0.0,-5.680486088345359e-18,True
1752495149.5897958,180.729006256199,1324.444037537194,1084.374037537194,0.0,0.0,-5.680486088345359e-19,True
1752495149.600711,180.729006256199,1324.444037537194,1084.374037537194,0.0,0.0,-5.680486088345359e-20,True
1752495149.6118274,180.729006256199,1324.444037537194,1084.374037537194,0.0,0.0,-5.6804860883453604e-21,True
1752495149.6229048,180.729006256199,1324.444037537194,1084.374037537194,0.0,0.0,-5.68048608834536e-22,True
1752495149.634187,180.729006256199,1324.444037537194,1084.374037537194,0.0,0.0,-5.68048608834536e-23,True
1752495149.6451783,180.729006256199,1324.444037537194,1084.374037537194,0.0,0.0,-5.680486088345359e-24,True
1752495149.6562822,180.729006256199,1324.444037537194,1084.374037537194,0.0,0.0,-5.680486088345361e-25,True
1752495149.667191,180.729006256199,1324.4769970244909,1084.374037537194,0.0,0.0,-5.680486088345359e-26,True
1752495149.6780071,180.7344995040818,1324.4769970244909,1084.406997024491,0.008874690935681943,0.0,-5.6804860883453566e-27,True
1752495149.689331,180.7344995040818,1324.4769970244909,1084.406997024491,0.0,0.0,-5.680486088345355e-28,True
1752495149.7002554,180.7344995040818,1324.4769970244909,1084.406997024491,0.0,0.0,-5.680486088345352e-29,True
1752495149.7111602,180.7344995040818,1324.4769970244909,1084.406997024491,0.0,0.0,-5.680486088345347e-30,True
1752495149.7224522,180.7344995040818,1324.4769970244909,1084.406997024491,0.0,0.0,-5.680486088345347e-31,True
1752495149.7336583,180.7344995040818,1324.4769970244909,1084.406997024491,0.0,0.0,-5.680486088345347e-32,True
1752495149.7452598,180.7344995040818,1324.4769970244909,1084.406997024491,0.0,0.0,-5.680486088345349e-33,True
1752495149.7570674,180.7344995040818,1324.4769970244909,1084.406997024491,0.0,0.0,-5.6804860883453465e-34,True
1752495149.7681935,180.7344995040818,1324.4769970244909,1084.406997024491,0.0,0.0,-5.680486088345345e-35,True
