Timestamp,Output Angle [deg],Angular Velocity [dps],Gravity Torque [Nm],Friction Torque [Nm],Damping Torque [Nm],Target Torque [Nm],Applied Torque [Nm],Is Holding
1752828746.4849305,175.99382658121615,-17.934762942872645,0.0,0.0,0.0,0.0,0.0,True
1752828746.4961526,175.99382658121615,-18.450631861886695,0.0,0.0,0.0,0.0,0.0,True
1752828746.5073705,175.99382658121615,-18.96695616744096,0.0,0.0,0.0,0.0,0.0,True
1752828746.5183897,175.99382658121615,-19.482727915880577,0.0,0.0,0.0,0.0,0.0,True
1752828746.529622,175.99382658121615,-19.997592857524115,0.0,0.0,0.0,0.0,0.0,True
1752828746.5408773,175.99382658121615,-20.511267495654185,0.0,0.0,0.0,0.0,0.0,True
1752828746.5522656,175.99382658121615,-21.023185343028196,0.0,0.0,0.0,0.0,0.0,True
1752828746.563004,175.99382658121615,-21.53290408860227,0.0,0.0,0.0,0.0,0.0,True
1752828746.5737402,175.99382658121615,-22.039712457727187,0.0,0.0,0.0,0.0,0.0,True
1752828746.5846891,175.99382658121615,-22.543321179988766,0.0,0.0,0.0,0.0,0.0,True
1752828746.5958047,175.99382658121615,-23.04343170085194,0.0,0.0,0.0,0.0,0.0,True
1752828746.6068432,175.99382658121615,-23.539796301590325,0.0,0.0,0.0,0.0,0.0,True
1752828746.6179223,175.99382658121615,-24.031885541685824,0.0,0.0,0.0,0.0,0.0,True
1752828746.629119,175.99382658121615,-24.51937655551275,0.0,0.0,0.0,0.0,0.0,True
1752828746.6404166,175.99382658121615,-25.00208229897764,0.0,0.0,0.0,0.0,0.0,True
1752828746.6516416,175.99382658121615,-25.479472210963312,0.0,0.0,0.0,0.0,0.0,True
1752828746.662684,175.99382658121615,-25.95117942385445,0.0,0.0,0.0,0.0,0.0,True
1752828746.6735146,175.99382658121615,-26.416822412010582,0.0,0.0,0.0,0.0,0.0,True
1752828746.68438,175.99382658121615,-26.87599855398352,0.0,0.0,0.0,0.0,0.0,True
1752828746.6955013,175.99382658121615,-27.32850275109243,0.0,0.0,0.0,0.0,0.0,True
1752828746.7066014,175.99382658121615,-27.77409034152481,0.0,0.0,0.0,0.0,0.0,True
1752828746.717557,175.99382658121615,-28.212484714764024,0.0,0.0,0.0,0.0,0.0,True
1752828746.7288294,175.99382658121615,-28.643496347949917,0.0,0.0,0.0,0.0,0.0,True
1752828746.7399852,175.99382658121615,-29.066832819568,0.0,0.0,0.0,0.0,0.0,True
1752828746.7518039,175.99382658121615,-29.48233949727915,0.0,0.0,0.0,0.0,0.0,True
1752828746.7630439,175.99382658121615,-29.88970384143,0.0,0.0,0.0,0.0,0.0,True
1752828746.7743657,175.99382658121615,-30.288622621471067,0.0,0.0,0.0,0.0,0.0,True
1752828746.7854993,175.99382658121615,-30.678967480608733,0.0,0.0,0.0,0.0,0.0,True
1752828746.7966292,175.99382658121615,-31.060475492380565,0.0,0.0,0.0,0.0,0.0,True
1752828746.8077228,175.99382658121615,-31.43296579304751,0.0,0.0,0.0,0.0,0.0,True
1752828746.8186939,175.99382658121615,-31.796260869022664,0.0,0.0,0.0,0.0,0.0,True
