timestamp,motor_angle_raw,output_angle,error,p_torque,d_torque,total_torque
0.0202,90.58,-24.92,24.92,0.9966,6.2287,7.2253
0.0403,90.58,-24.92,24.92,0.9966,0.0000,0.9966
0.0812,92.74,-24.55,24.55,0.9822,-0.0900,0.8922
0.1218,101.72,-23.06,23.06,0.9223,-0.3742,0.5482
0.1422,117.16,-20.48,20.48,0.8194,-0.6433,0.1761
0.1827,138.52,-16.92,16.92,0.6770,-0.8900,-0.2130
0.2029,165.94,-12.35,12.35,0.4942,-1.1425,-0.6483
0.2439,199.53,-6.76,6.76,0.2703,-1.3996,-1.1293
0.2845,239.49,-0.10,0.10,0.0039,-1.6650,-1.6611
0.3049,286.17,7.68,-7.68,-0.3073,-1.9450,-2.2523
0.3457,332.95,15.48,-15.48,-0.6192,-1.9492,-2.5684
0.3860,369.28,21.53,-21.53,-0.8614,-1.5137,-2.3751
0.4061,390.62,25.09,-25.09,-1.0037,-0.8892,-1.8928
0.4465,396.93,26.14,-26.14,-1.0457,-0.2629,-1.3086
0.4668,391.66,25.27,-25.27,-1.0106,0.2196,-0.7910
0.5077,380.75,23.45,-23.45,-0.9379,0.4546,-0.4833
0.5486,363.57,20.58,-20.58,-0.8233,0.7158,-0.1075
0.5687,339.70,16.61,-16.61,-0.6642,0.9946,0.3304
0.6091,310.16,11.68,-11.68,-0.4673,1.2308,0.7636
0.6295,274.59,5.75,-5.75,-0.2301,1.4821,1.2520
0.6699,233.01,-1.18,1.18,0.0471,1.7325,1.7796
0.7104,185.47,-9.10,9.10,0.3640,1.9808,2.3448
0.7306,131.52,-18.09,18.09,0.7237,2.2479,2.9716
0.7712,71.70,-28.06,28.06,1.1225,2.4925,3.6150
0.8116,5.80,-39.04,39.04,1.5618,2.7458,4.3076
0.8318,2095.19,309.19,-309.19,-12.3675,-87.0579,-99.4254
0.8725,2018.72,296.44,-296.44,-11.8577,3.1863,-8.6714
0.8929,1936.49,282.74,-282.74,-11.3095,3.4262,-7.8832
0.9339,1851.42,268.56,-268.56,-10.7423,3.5446,-7.1977
0.9747,1766.61,254.42,-254.42,-10.1769,3.5338,-6.6432
0.9951,1692.87,242.13,-242.13,-9.6853,3.0725,-6.6128
1.0357,1633.88,232.30,-232.30,-9.2921,2.4579,-6.8342
1.0763,1590.93,225.14,-225.14,-9.0057,1.7896,-7.2161
1.0964,1563.34,220.54,-220.54,-8.8218,1.1496,-7.6722
1.1371,1550.67,218.43,-218.43,-8.7373,0.5279,-8.2094
1.1574,1550.80,218.46,-218.46,-8.7382,-0.0054,-8.7436
1.1980,1558.70,219.77,-219.77,-8.7909,-0.3292,-9.1200
1.2385,1573.04,222.16,-222.16,-8.8865,-0.5975,-9.4840
1.2588,1594.45,225.73,-225.73,-9.0292,-0.8921,-9.9213
1.2995,1622.32,230.38,-230.38,-9.2150,-1.1612,-10.3762
1.3199,1656.05,236.00,-236.00,-9.4399,-1.4054,-10.8453
1.3607,1696.70,242.77,-242.77,-9.7109,-1.6938,-11.4046
1.4013,1738.97,249.82,-249.82,-9.9927,-1.7613,-11.7539
1.4218,1771.05,255.16,-255.16,-10.2065,-1.3367,-11.5432
1.4622,1789.82,258.29,-258.29,-10.3317,-0.7821,-11.1138
1.5028,1795.42,259.23,-259.23,-10.3690,-0.2333,-10.6023
1.5233,1792.32,258.71,-258.71,-10.3483,0.1292,-10.2192
1.5641,1783.47,257.23,-257.23,-10.2893,0.3687,-9.9206
1.5845,1769.24,254.86,-254.86,-10.1945,0.5929,-9.6015
1.6250,1749.39,251.55,-251.55,-10.0621,0.8271,-9.2351
1.6656,1723.95,247.31,-247.31,-9.8925,1.0600,-8.8325
1.6861,1693.95,242.31,-242.31,-9.6925,1.2500,-8.4425
1.7264,1658.29,236.37,-236.37,-9.4548,1.4858,-7.9690
1.7466,1617.55,229.58,-229.58,-9.1832,1.6975,-7.4857
1.7875,1571.78,221.95,-221.95,-8.8781,1.9071,-6.9710
1.8281,1520.82,213.46,-213.46,-8.5383,2.1233,-6.4150
1.8486,1462.92,203.81,-203.81,-8.1523,2.4125,-5.7398
1.8894,1400.55,193.41,-193.41,-7.7365,2.5988,-5.1378
1.9302,1332.83,182.13,-182.13,-7.2851,2.8217,-4.4634
1.9503,1258.09,169.67,-169.67,-6.7868,3.1142,-3.6726
1.9913,1180.91,156.81,-156.81,-6.2723,3.2158,-3.0564
2.0123,1094.68,142.44,-142.44,-5.6974,3.5929,-2.1045
2.0533,1004.23,127.36,-127.36,-5.0944,3.7688,-1.3256
2.0936,906.98,111.15,-111.15,-4.4461,4.0521,-0.3940
2.1141,804.82,94.12,-94.12,-3.7650,4.2567,0.4917
2.1550,694.86,75.80,-75.80,-3.0319,4.5817,1.5497
2.1959,578.75,56.45,-56.45,-2.2579,4.8379,2.5800
2.2160,457.82,36.29,-36.29,-1.4517,5.0388,3.5871
2.2566,330.53,15.08,-15.08,-0.6031,5.3038,4.7007
2.2769,199.22,-6.81,6.81,0.2723,5.4712,5.7436
2.3175,59.37,-30.12,30.12,1.2047,5.8271,7.0317
2.3580,2078.12,306.34,-306.34,-12.2537,-84.1146,-96.3682
2.3785,1930.81,281.79,-281.79,-11.2716,6.1379,-5.1337
